Date : 2026-03-07 22:31:58
Directory : c:\Users\M-\Desktop\React route\Applications\my-shop\src
Total : 133 files,  10735 codes, 513 comments, 1570 blanks, all 12818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         89 |      9,498 |        468 |      1,327 |     11,293 |
| TypeScript     |         43 |      1,049 |         26 |        193 |      1,268 |
| PostCSS        |          1 |        188 |         19 |         50 |        257 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\orders\screens\OrdersScreen.tsx                       | TypeScript JSX |        193 |          8 |         17 |        218 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\api\productsApi.ts                           | TypeScript     |         20 |          0 |          3 |         23 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\components\RecentlyViewed.tsx                | TypeScript JSX |         65 |          0 |         11 |         76 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\hooks\useProduct.ts                          | TypeScript     |         20 |          0 |          4 |         24 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\hooks\useProducts.ts                         | TypeScript     |         21 |          0 |          5 |         26 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\BrandsScreen.tsx                     | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\CategoriesScreen.tsx                 | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\HomeScreen.tsx                       | TypeScript JSX |         43 |          2 |         10 |         55 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\NotFoundScreen.tsx                   | TypeScript JSX |          8 |          0 |          0 |          8 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\ProductDetailsScreen.tsx             | TypeScript JSX |        740 |          6 |        130 |        876 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\screens\SearchScreen.tsx                     | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\types\product.types.ts                       | TypeScript     |         21 |          1 |          3 |         25 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\products\utils\recentlyViewed.ts                      | TypeScript     |         31 |          0 |          5 |         36 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\api\reviews.api.ts                            | TypeScript     |         38 |          0 |          7 |         45 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\hooks\useAddReview.ts                         | TypeScript     |         12 |          0 |          2 |         14 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\reviews\hooks\useProductReviews.ts                    | TypeScript     |         11 |          0 |          1 |         12 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\api\filters.api.ts                             | TypeScript     |         10 |          0 |          2 |         12 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\FiltersDrawer.tsx                   | TypeScript JSX |         55 |          0 |          6 |         61 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\RecentlyViewedStrip.tsx             | TypeScript JSX |         59 |          1 |         11 |         71 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchFiltersSidebar.tsx            | TypeScript JSX |        291 |          2 |         31 |        324 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchPagination.tsx                | TypeScript JSX |         59 |          0 |          6 |         65 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchResultsGrid.tsx               | TypeScript JSX |         64 |          3 |          8 |         75 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\components\SearchToolbar.tsx                   | TypeScript JSX |        180 |          4 |         17 |        201 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\data\mockSearch.ts                             | TypeScript     |        120 |          0 |          2 |        122 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\hooks\useBrands.ts                             | TypeScript     |         10 |          0 |          1 |         11 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\hooks\useCategories.ts                         | TypeScript     |         10 |          0 |          1 |         11 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\screens\SearchScreen.tsx                       | TypeScript JSX |        306 |         18 |         66 |        390 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\search\types\filters.types.ts                         | TypeScript     |         10 |          0 |          1 |         11 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\api\wishlist.api.ts                          | TypeScript     |         14 |         12 |          8 |         34 |
| c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\wishlist\hooks\useAddToWishlist.ts                    | TypeScript     |         16 |          0 |          4 |         20 |
